"the_geom","id","piece","_column","occurrence","traduction_anglaise","type","zone_geographique","continent","lat","lng","cartodb_id","remarque","auteur","titre","genre","representation","decennie","publication","decennie2","column2","column3","column4"
"0101000020E610000089B5F814005356409EB5DB2E34D73D40","http://www.geonames.org/6255147","BOYER_AGAMEMNON","5","Asie","Asia","Continent","","","29.84064","89.29688","1","","Boyer, Claude","Agammemnon","Tragédie","1647","40","1680","80","http://dramacode.github.io/bibdramatique/boyer_agamemnon.xml","https://catalogue.bnf.fr/ark:/12148/cb301521083",""
"NaN","http://www.geonames.org/390903","BOYER_AGAMEMNON","15","Grèce","Greece","Pays","Grèce","Europe","39","22","2","","Boyer, Claude","Agammemnon","Tragédie","1647","40","1680","80","http://dramacode.github.io/bibdramatique/boyer_agamemnon.xml","https://catalogue.bnf.fr/ark:/12148/cb301521083",""
"0101000020E61000004300D1CC0AC1364075E9D7C571DD4240","https://pleiades.stoa.org/places/570491","BOYER_AGAMEMNON","34","Mycènes","Mycenae","Ville","Grèce","Europe","37.7300345711","22.7540710459","3","","Boyer, Claude","Agammemnon","Tragédie","1647","40","1680","80","http://dramacode.github.io/bibdramatique/boyer_agamemnon.xml","https://catalogue.bnf.fr/ark:/12148/cb301521083",""
"NaN","https://pleiades.stoa.org/places/541048","BOYER_AGAMEMNON","1","Phocide","Phocis","Région","Grèce","Europe","38.5","22.25","4","","Boyer, Claude","Agammemnon","Tragédie","1647","40","1680","80","http://dramacode.github.io/bibdramatique/boyer_agamemnon.xml","https://catalogue.bnf.fr/ark:/12148/cb301521083",""
"0101000020E6100000DDD3D51D8B8D34401CEF8E8CD5DE4340","https://pleiades.stoa.org/places/530898","BOYER_AGAMEMNON","11","Ilion","Ilion","Ville","Grèce","Europe","39.740892","20.552904","5","","Boyer, Claude","Agammemnon","Tragédie","1647","40","1680","80","http://dramacode.github.io/bibdramatique/boyer_agamemnon.xml","https://catalogue.bnf.fr/ark:/12148/cb301521083",""
"0101000020E6100000F2A1B19E2DCD39401076F7F1D1B44240","https://pleiades.stoa.org/places/560221","BOYER_AGAMEMNON","1","mer Egée","Aegean Sea","Mer","Grèce","Europe","37.4126570185","25.8014773544","6","","Boyer, Claude","Agammemnon","Tragédie","1647","40","1680","80","http://dramacode.github.io/bibdramatique/boyer_agamemnon.xml","https://catalogue.bnf.fr/ark:/12148/cb301521083",""
"0101000020E61000003BA6EECA2EB83640EB36A8FDD6D04240","https://pleiades.stoa.org/places/570106","BOYER_AGAMEMNON","8","Argos","Argos","Ville","Grèce","Europe","37.631561","22.719464","7","","Boyer, Claude","Agammemnon","Tragédie","1647","40","1680","80","http://dramacode.github.io/bibdramatique/boyer_agamemnon.xml","https://catalogue.bnf.fr/ark:/12148/cb301521083",""
"0101000020E61000001AF2D19F0B3D3A40E08E50288DFA4340","https://pleiades.stoa.org/places/550595","BOYER_AGAMEMNON","19","Troie","Troy","Ville","Anatolie","Asie","39.9574327844","26.2384586227","8","","Boyer, Claude","Agammemnon","Tragédie","1647","40","1680","80","http://dramacode.github.io/bibdramatique/boyer_agamemnon.xml","https://catalogue.bnf.fr/ark:/12148/cb301521083",""
"0101000020E610000063005EE76AF238405963E43607884140","https://pleiades.stoa.org/places/981517","BOYER_AGAMEMNON","2","Crète","Creta","Pays","Grèce","Europe","35.0627201667","24.9469437222","9","","Boyer, Claude","Agammemnon","Tragédie","1647","40","1680","80","http://dramacode.github.io/bibdramatique/boyer_agamemnon.xml","https://catalogue.bnf.fr/ark:/12148/cb301521083",""
"0101000020E61000003E213B6F636D3640F29881CAF8894240","https://pleiades.stoa.org/places/570685","BOYER_AGAMEMNON","9","Sparte","Sparta","Ville","Grèce","Europe","37.077905","22.4272985","10","","Boyer, Claude","Agammemnon","Tragédie","1647","40","1680","80","http://dramacode.github.io/bibdramatique/boyer_agamemnon.xml","https://catalogue.bnf.fr/ark:/12148/cb301521083",""
"0101000020E61000007197EE4647B937403403805685FC4240","https://pleiades.stoa.org/places/579885","BOYER_AGAMEMNON","2","Athènes","Athens","Ville","Grèce","Europe","37.9728191495","23.7237438519","11","","Boyer, Claude","Agammemnon","Tragédie","1647","40","1680","80","http://dramacode.github.io/bibdramatique/boyer_agamemnon.xml","https://catalogue.bnf.fr/ark:/12148/cb301521083",""
"0101000020E61000006CD12C0F65E63640E46592B7F1F24240","https://pleiades.stoa.org/places/570182","BOYER_AGAMEMNON","1","Corinthe","Corinth","Ville","Grèce","Europe","37.8980016198","22.8999795422","12","","Boyer, Claude","Agammemnon","Tragédie","1647","40","1680","80","http://dramacode.github.io/bibdramatique/boyer_agamemnon.xml","https://catalogue.bnf.fr/ark:/12148/cb301521083",""
"0101000020E610000092CCEA1D6EA33440868F882991384340","https://pleiades.stoa.org/places/530905","BOYER_AGAMEMNON","1","Ithaque","Ithaca","Île","Grèce","Europe","38.44193","20.638399","13","","Boyer, Claude","Agammemnon","Tragédie","1647","40","1680","80","http://dramacode.github.io/bibdramatique/boyer_agamemnon.xml","https://catalogue.bnf.fr/ark:/12148/cb301521083",""
"0101000020E61000006CFFA73BFF9634404EF90D9CDEC94340","https://pleiades.stoa.org/places/530871","BOYER_AGAMEMNON","1","Epire","Epirus","Région","Grèce","Europe","39.5771060055","20.589832047","14","","Boyer, Claude","Agammemnon","Tragédie","1647","40","1680","80","http://dramacode.github.io/bibdramatique/boyer_agamemnon.xml","https://catalogue.bnf.fr/ark:/12148/cb301521083",""
"0101000020E6100000B9533A58FF4722400D6C956071584840","http://www.geonames.org/6255148","BOYER_AGAMEMNON","1","Europe","Europa","Continent","","Europe","48.69096","9.14062","15","","Boyer, Claude","Agammemnon","Tragédie","1647","40","1680","80","http://dramacode.github.io/bibdramatique/boyer_agamemnon.xml","https://catalogue.bnf.fr/ark:/12148/cb301521083",""
"0101000020E6100000B9533A58FF4722400D6C956071584840","http://www.geonames.org/6255148","BOYER_AMOURSJUPITERSEMELE","1","Europe","Europa","Continent","","Europe","48.69096","9.14062","16","","Boyer, Claude","Les Amours de Jupiter et Sémélé","Tragédie","1666","60","1666","60","http://dramacode.github.io/bibdramatique/boyer_amoursjupitersemele.xml","https://catalogue.bnf.fr/ark:/12148/cb30152109f","https://gallica.bnf.fr/ark:/12148/bpt6k83827k"
"0101000020E610000026512FF8349F36401F11532289444340","https://pleiades.stoa.org/places/541012","BOYER_AMOURSJUPITERSEMELE","1","Parnasse","Mount Parnassus","Montagne","Grèce","Europe","38.535435","22.621902","17","","Boyer, Claude","Les Amours de Jupiter et Sémélé","Tragédie","1666","60","1666","60","http://dramacode.github.io/bibdramatique/boyer_amoursjupitersemele.xml","https://catalogue.bnf.fr/ark:/12148/cb30152109f","https://gallica.bnf.fr/ark:/12148/bpt6k83827k"
"0101000020E61000003BA6EECA2EB83640EB36A8FDD6D04240","https://pleiades.stoa.org/places/570106","BOYER_AMOURSJUPITERSEMELE","5","Argos","Argos","Ville","Grèce","Europe","37.631561","22.719464","18","","Boyer, Claude","Les Amours de Jupiter et Sémélé","Tragédie","1666","60","1666","60","http://dramacode.github.io/bibdramatique/boyer_amoursjupitersemele.xml","https://catalogue.bnf.fr/ark:/12148/cb30152109f","https://gallica.bnf.fr/ark:/12148/bpt6k83827k"
"0101000020E610000038F6ECB94C5137403D29931ADA284340","https://pleiades.stoa.org/places/541138","BOYER_AMOURSJUPITERSEMELE","5","Thèbes","Thebes","Ville","Grèce","Europe","38.319156","23.317577","19","","Boyer, Claude","Les Amours de Jupiter et Sémélé","Tragédie","1666","60","1666","60","http://dramacode.github.io/bibdramatique/boyer_amoursjupitersemele.xml","https://catalogue.bnf.fr/ark:/12148/cb30152109f","https://gallica.bnf.fr/ark:/12148/bpt6k83827k"
"0101000020E61000003E213B6F636D3640F29881CAF8894240","https://pleiades.stoa.org/places/570685","BOYER_ARISTODEME","8","Sparte","Sparta","Ville","Grèce","Europe","37.077905","22.4272985","20","","Boyer, Claude","Aristodème","Tragédie","1647","40","1648","40","http://dramacode.github.io/tcp5/boyer_aristodeme.xml","https://catalogue.bnf.fr/ark:/12148/cb30152112b","https://gallica.bnf.fr/ark:/12148/bpt6k71607q"
"0101000020E610000093C6681D55D535400000000000A04240","http://www.geonames.org/257149","BOYER_ARISTODEME","6","Messénie","Messinia","Région","Grèce","Europe","37.25","21.83333","21","","Boyer, Claude","Aristodème","Tragédie","1647","40","1648","40","http://dramacode.github.io/tcp5/boyer_aristodeme.xml","https://catalogue.bnf.fr/ark:/12148/cb30152112b","https://gallica.bnf.fr/ark:/12148/bpt6k71607q"
"0101000020E6100000DD0C37E0F3EB35404E9A0645F3964240","https://pleiades.stoa.org/places/570318","BOYER_ARISTODEME","1","mont Ithomé","Ithome","Montagne","Grèce","Europe","37.179299","21.92169","22","","Boyer, Claude","Aristodème","Tragédie","1647","40","1648","40","http://dramacode.github.io/tcp5/boyer_aristodeme.xml","https://catalogue.bnf.fr/ark:/12148/cb30152112b","https://gallica.bnf.fr/ark:/12148/bpt6k71607q"
"0101000020E6100000DD0C37E0F3EB35404E9A0645F3964240","https://pleiades.stoa.org/places/570479","BOYER_ARISTODEME","20","Messène","Messene","Ville","Grèce","Europe","37.179299","21.92169","23","","Boyer, Claude","Aristodème","Tragédie","1647","40","1648","40","http://dramacode.github.io/tcp5/boyer_aristodeme.xml","https://catalogue.bnf.fr/ark:/12148/cb30152112b","https://gallica.bnf.fr/ark:/12148/bpt6k71607q"
"0101000020E610000015973ECFFAF64140AE1FAC10A0D64440","https://pleiades.stoa.org/places/857148","BOYER_ARISTODEME","2","Haly","Kızılırmak","Fleuve","Anatolie","Asie","41.6767598","35.9295291","24","","Boyer, Claude","Aristodème","Tragédie","1647","40","1648","40","http://dramacode.github.io/tcp5/boyer_aristodeme.xml","https://catalogue.bnf.fr/ark:/12148/cb30152112b","https://gallica.bnf.fr/ark:/12148/bpt6k71607q"
"0101000020E61000000000000000804A400000000000004040","http://www.geonames.org/130758","BOYER_ARTAXERCE","6","Perse","Persia","Pays","Orient","Asie","32","53","26","","Boyer, Claude","Artaxerce","Tragédie","1682","80","1683","80","http://dramacode.github.io/bibdramatique/boyer_artaxerce.xml","https://catalogue.bnf.fr/ark:/12148/cb30152113p",""
"0101000020E6100000516D5D1A39364640D0E445DBF6444040","https://pleiades.stoa.org/places/893951","BOYER_ARTAXERCE","2","Babylone","Babylon","Ville","Orient","Asie","32.5387834636","44.4236176449","27","","Boyer, Claude","Artaxerce","Tragédie","1682","80","1683","80","http://dramacode.github.io/bibdramatique/boyer_artaxerce.xml","https://catalogue.bnf.fr/ark:/12148/cb30152113p",""
"0101000020E610000089B5F814005356409EB5DB2E34D73D40","http://www.geonames.org/6255147","BOYER_ARTAXERCE","2","Asie","Asia","Continent","","Asie","29.84064","89.29688","28","","Boyer, Claude","Artaxerce","Tragédie","1682","80","1683","80","http://dramacode.github.io/bibdramatique/boyer_artaxerce.xml","https://catalogue.bnf.fr/ark:/12148/cb30152113p",""
